streak_id,sign,length,start_time,end_time,pnl_r,pnl_usd,start_setup_id,end_setup_id
272,win,2,2026-01-21 20:45:00+00:00,2026-01-21 20:45:00+00:00,0.1605990318677486,4.817970956032463,XAUUSD_31624_SHORT_6586,XAUUSD_31624_SHORT_6586
273,loss,1,2026-01-21 21:45:00+00:00,2026-01-21 21:45:00+00:00,-1.0,-30.0,EURUSD_31151_SHORT_6663,EURUSD_31151_SHORT_6663
274,win,11,2026-01-22 01:30:00+00:00,2026-01-27 21:45:00+00:00,22.14435614852046,664.3306844556138,EURUSD_31151_SHORT_6663,EURUSD_31525_LONG_6759
275,loss,1,2026-01-28 20:30:00+00:00,2026-01-28 20:30:00+00:00,-1.0,-30.0,XAUUSD_32092_LONG_6692,XAUUSD_32092_LONG_6692
276,win,2,2026-01-28 22:45:00+00:00,2026-01-28 22:45:00+00:00,4.12073361566158,123.6220084698474,XAUUSD_32092_LONG_6692,XAUUSD_32092_LONG_6692
277,loss,7,2026-01-29 15:15:00+00:00,2026-01-30 17:30:00+00:00,-4.460293373798651,-133.80880121395953,EURUSD_31691_SHORT_6795,EURUSD_31804_SHORT_6825
278,win,5,2026-01-30 21:00:00+00:00,2026-01-30 21:45:00+00:00,4.144066464280006,124.32199392840019,EURUSD_31804_SHORT_6825,GBPUSD_31806_SHORT_6648
279,loss,12,2026-02-03 11:15:00+00:00,2026-02-04 11:30:00+00:00,-10.971777269260148,-329.1533180778044,GBPUSD_31978_SHORT_6687,GBPUSD_32073_LONG_6707
280,win,6,2026-02-04 18:00:00+00:00,2026-02-04 22:45:00+00:00,9.01805166729419,270.54155001882566,GBPUSD_32078_SHORT_6708,GBPUSD_32105_SHORT_6713
281,loss,1,2026-02-05 12:45:00+00:00,2026-02-05 12:45:00+00:00,-1.0,-30.0,XAUUSD_32616_SHORT_6806,XAUUSD_32616_SHORT_6806
282,win,2,2026-02-05 15:45:00+00:00,2026-02-05 15:45:00+00:00,0.8291417887944164,24.87425366383249,XAUUSD_32616_SHORT_6806,XAUUSD_32616_SHORT_6806
283,loss,3,2026-02-06 09:00:00+00:00,2026-02-06 10:45:00+00:00,-3.0,-90.0,GBPUSD_32257_LONG_6755,GBPUSD_32257_LONG_6755
284,win,6,2026-02-06 17:45:00+00:00,2026-02-06 20:30:00+00:00,8.868470894722854,266.0541268416856,GBPUSD_32278_LONG_6758,XAUUSD_32724_LONG_6824
285,loss,2,2026-02-10 21:45:00+00:00,2026-02-10 21:45:00+00:00,-2.0,-60.0,GBPUSD_32498_SHORT_6801,EURUSD_32495_SHORT_6959
286,win,3,2026-02-11 00:00:00+00:00,2026-02-11 00:00:00+00:00,1.4117400419286086,42.35220125785826,GBPUSD_32483_SHORT_6797,GBPUSD_32483_SHORT_6797
287,loss,2,2026-02-11 00:15:00+00:00,2026-02-11 00:15:00+00:00,-0.0566146735991328,-1.6984402079739862,EURUSD_32495_SHORT_6959,EURUSD_32495_SHORT_6959
288,win,2,2026-02-11 01:00:00+00:00,2026-02-11 01:00:00+00:00,1.6136249371541935,48.408748114625794,GBPUSD_32498_SHORT_6801,GBPUSD_32498_SHORT_6801
289,loss,3,2026-02-11 14:15:00+00:00,2026-02-11 14:30:00+00:00,-3.0,-90.0,GBPUSD_32555_LONG_6815,GBPUSD_32555_LONG_6815
290,win,4,2026-02-11 15:30:00+00:00,2026-02-13 09:00:00+00:00,12.0,360.0,EURUSD_32570_SHORT_6976,EURUSD_32731_SHORT_7001
